month,high,low
1/1/10,1566000,253500
2/1/10,2545625,91000
3/1/10,3125000,189000
4/1/10,2851000,176575
5/1/10,1175000,134000
6/1/10,2733000,160000
7/1/10,1800000,116000
8/1/10,2837550,235141
9/1/10,1973000,204500
10/1/10,2750000,135000
11/1/10,3700000,260000
12/1/10,1612500,223000
1/1/11,2650000,157290
2/1/11,2100000,155000
3/1/11,1850000,184000
4/1/11,3300000,223000
5/1/11,1850000,220000
6/1/11,3600000,156000
7/1/11,3220000,248430
8/1/11,2750000,190000
9/1/11,1600000,47500
10/1/11,2100000,40000
11/1/11,2150000,155000
12/1/11,2670000,85000
1/1/12,1491000,240000
2/1/12,2450000,240000
3/1/12,2621993,168000
4/1/12,5100000,214208
5/1/12,2293000,184983
6/1/12,5203550,150000
7/1/12,2418000,330000
8/1/12,2750000,219000
9/1/12,2647450,275000
10/1/12,3700000,245039
11/1/12,1425000,135000
12/1/12,4695000,110000
1/1/13,3350000,180000
2/1/13,1555555,140000
3/1/13,1742000,223080
4/1/13,1875000,185000
5/1/13,2339783,118063
6/1/13,2950000,97280
7/1/13,4750000,192000
8/1/13,2179000,127500
9/1/13,3297000,240000
10/1/13,2575000,110000
11/1/13,2053000,180000
12/1/13,3275000,215000
1/1/14,2106759,85850
2/1/14,2172000,230000
3/1/14,3435000,240000
4/1/14,2750000,120000
5/1/14,1850000,105000
6/1/14,2530000,130662
7/1/14,2849000,131709
8/1/14,2992500,195000
9/1/14,4875000,189000
10/1/14,2125000,132000
11/1/14,10775000,160500
12/1/14,2495000,260000
1/1/15,2500000,147521
2/1/15,3850000,190000
3/1/15,3945000,290000
4/1/15,3750000,160292
5/1/15,2950000,280000
6/1/15,12400000,130000
7/1/15,4425000,309000
8/1/15,1940000,187500
9/1/15,3600000,305000
10/1/15,3954000,195000
11/1/15,1800000,324000
12/1/15,6000000,325000
